"GEOID","NAME","variable","value"
"01","Alabama","P002001",4447100
"02","Alaska","P002001",626932
"04","Arizona","P002001",5130632
"05","Arkansas","P002001",2673400
"06","California","P002001",33871648
"08","Colorado","P002001",4301261
"09","Connecticut","P002001",3405565
"10","Delaware","P002001",783600
"11","District of Columbia","P002001",572059
"12","Florida","P002001",15982378
"13","Georgia","P002001",8186453
"15","Hawaii","P002001",1211537
"16","Idaho","P002001",1293953
"17","Illinois","P002001",12419293
"18","Indiana","P002001",6080485
"19","Iowa","P002001",2926324
"20","Kansas","P002001",2688418
"21","Kentucky","P002001",4041769
"22","Louisiana","P002001",4468976
"23","Maine","P002001",1274923
"24","Maryland","P002001",5296486
"25","Massachusetts","P002001",6349097
"26","Michigan","P002001",9938444
"27","Minnesota","P002001",4919479
"28","Mississippi","P002001",2844658
"29","Missouri","P002001",5595211
"30","Montana","P002001",902195
"31","Nebraska","P002001",1711263
"32","Nevada","P002001",1998257
"33","New Hampshire","P002001",1235786
"34","New Jersey","P002001",8414350
"35","New Mexico","P002001",1819046
"36","New York","P002001",18976457
"37","North Carolina","P002001",8049313
"38","North Dakota","P002001",642200
"39","Ohio","P002001",11353140
"40","Oklahoma","P002001",3450654
"41","Oregon","P002001",3421399
"42","Pennsylvania","P002001",12281054
"44","Rhode Island","P002001",1048319
"45","South Carolina","P002001",4012012
"46","South Dakota","P002001",754844
"47","Tennessee","P002001",5689283
"48","Texas","P002001",20851820
"49","Utah","P002001",2233169
"50","Vermont","P002001",608827
"51","Virginia","P002001",7078515
"53","Washington","P002001",5894121
"54","West Virginia","P002001",1808344
"55","Wisconsin","P002001",5363675
"56","Wyoming","P002001",493782
"72","Puerto Rico","P002001",3808610
